timestamp,latitude,longitude,weather_condition,road_type,traffic_density,vehicle_type,accident_severity
2023-01-01 01:38:00,40.868489498161544,-74.05768919671944,Fog,City Street,Low,Car,0
2023-01-01 02:12:00,40.80353573364619,-73.82242590391465,Rain,City Street,Medium,Motorcycle,0
2023-01-01 02:36:00,40.81195737141428,-73.84541737294823,Rain,Intersection,Medium,Motorcycle,0
2023-01-01 07:43:00,40.89003614216361,-73.90403061935794,Clear,City Street,Congested,Motorcycle,1
2023-01-01 07:54:00,40.73358063932042,-73.83019284130519,Fog,Intersection,Medium,Motorcycle,0
2023-01-01 09:42:00,40.75556389894108,-74.08000033461725,Fog,Intersection,Medium,Car,1
2023-01-01 18:44:00,40.70825006469435,-73.91230751153924,Rain,Intersection,Medium,Car,1
2023-01-01 20:53:00,40.81504165861256,-74.00958048677484,Rain,Rural Road,High,Car,0
2023-01-01 21:19:00,40.77655886162907,-73.94247364635841,Clear,Intersection,Low,Car,2
2023-01-01 21:54:00,40.896315805952916,-73.82730060168815,Fog,City Street,Medium,Bus,0
2023-01-02 00:47:00,40.79804439493075,-74.01220869548334,Rain,Intersection,High,Car,0
2023-01-02 05:53:00,40.70418640589842,-73.9085671436388,Rain,Intersection,Congested,Car,2
2023-01-02 08:55:00,40.71106839971009,-73.85664919582726,Rain,Intersection,Low,Motorcycle,2
2023-01-02 09:43:00,40.76713882846208,-74.09654369639217,Fog,Intersection,Congested,Car,0
2023-01-02 11:21:00,40.871834472313985,-73.83432456317142,Rain,City Street,Low,Car,1
2023-01-02 12:40:00,40.81531279268452,-74.05671077931741,Rain,Intersection,High,Car,1
2023-01-02 17:11:00,40.70680890124006,-74.00563286519231,Clear,Intersection,High,Truck,1
2023-01-02 17:40:00,40.887387473006534,-73.84935940766744,Rain,Rural Road,Medium,Bus,0
2023-01-02 18:40:00,40.87811875202438,-73.9819948720309,Clear,Intersection,Congested,Motorcycle,0
2023-01-02 21:17:00,40.85829767646895,-74.02613856944735,Clear,Rural Road,High,Car,1
2023-01-02 21:47:00,40.75742636743743,-73.95013637300288,Clear,Intersection,Medium,Motorcycle,1
2023-01-02 23:09:00,40.71438927184789,-73.92936429520374,Rain,City Street,High,Car,0
2023-01-02 23:16:00,40.74718402209468,-73.99104704975517,Clear,City Street,High,Car,1
2023-01-02 23:30:00,40.881173821261996,-73.99411400053356,Clear,City Street,High,Motorcycle,1
2023-01-03 00:08:00,40.84809293018895,-73.89696981849282,Snow,Intersection,Medium,Car,0
2023-01-03 02:43:00,40.70543480725879,-74.02870265654185,Rain,Highway,High,Car,1
2023-01-03 08:59:00,40.76753123376019,-73.9791313166907,Snow,City Street,High,Car,0
2023-01-03 08:59:00,40.71931009571955,-74.053282196423,Rain,Intersection,High,Car,2
